CTDAY.DAT
AV         Aveiro
BJ         Beja
BR         Braga
BG         Braganca
CB         Castelo Branco
CO         Coimbra
EV         Evora
FR         Faro
GD         Guarda
LR         Leiria
LX         Lisbon
PG         Portalegre
PT         Porto
SR         Santarem
ST         Setubal
VR         Vila Real
VS         Viseu
VC         Viana do Castelo
end of file ctday.dat
